Distritos;X;Y
MITO;-11.9288009765; -75.3517500644
SAN JERONIMO DE TUNAN;-11.9374098094; -75.2863739745
QUILCAS;-11.8822453887; -75.1661565118
COLCA;-12.3142306098; -75.1912342313
VIQUES;-12.160532417; -75.2276761357
HUAYUCACHI;-12.1344100401; -75.2220665567
YANACANCHA;-12.2536887649; -75.4738053763
SAN JUAN DE ISCOS;-12.1193467845; -75.3015957129
CHILCA;-12.0790510528; -75.1831548191
SAN JOSE DE QUERO;-12.0762533674; -75.5726811876
HUAMANCACA CHICO;-12.0796255454; -75.2487673625
SANTO TOMAS;-6.56905877437; -77.8924768331
COCABAMBA;-6.62697256825; -78.0153739435
LA JALCA;-6.50359392358; -77.7843966061
PISUQUIA;-6.47474539407; -78.0862817855
SAN JUAN DE LOPECANCHA;-6.48274351511; -77.8917562468
MARIA;-6.49656478679; -77.9607965311
LONGAR;-6.35104432661; -77.5660897365
OMIA;-6.40540738523; -77.3544311786
OCUMAL;-6.345784379; -78.1639927721
INGUILPATA;-6.24810219648; -78.0285675775
MARISCAL BENAVIDES;-6.29166405892; -77.4851147873
CHACHAPOYAS;-6.24774300433; -77.8564880125
TRITA;-6.15646600272; -77.9811346338
OCALLI;-6.22180623098; -78.2168579927
MOLINOPAMPA;-6.21244106241; -77.6072531741
LAMUD;-6.11987991057; -77.9435589526
SAN CRISTOBAL;-6.08408133588; -77.963362232
GRANADA;-6.0999811889; -77.5765830025
CHILIQUIN;-6.0782076986; -77.7558658801
VICCO;-10.863968256; -76.233232789
NINACACA;-10.7920364838; -76.060196118
PAUCARTAMBO;-10.758892658; -75.7734270451
YANACANCHA;-10.6434323834; -76.1942775702
GOYLLARISQUIZGA;-10.4867472372; -76.4039621148
PALLANCHACRA;-10.4221567688; -76.2514612417
TAPUC;-10.4189600883; -76.4682456858
SHUNTE;-8.42326215469; -76.8767030774
PISCOYACU;-7.0141380268; -76.8341702703
BELLAVISTA;-6.99102390668; -76.6006081151
EDUARDO VILLANUEVA;-7.44124495679; -78.1433991817
TINTAY;-13.9034964698; -73.1344839141
SAN MIGUEL DE CHACCRAMPA;-13.9621482231; -73.6030130453
JUAN ESPINOZA MEDRANO;-14.5586108444; -72.9083883011
ANTABAMBA;-14.517996586; -72.7501193708
HUAQUIRCA;-14.3402711712; -72.7866883793
POCOHUANCA;-14.2240115801; -73.0876777877
OROPESA;-14.4359923511; -72.523126058
TURPAY;-14.2320039983; -72.6370454155
PACHACONAS;-14.2190058326; -72.9791216557
EL ORO;-14.1578089644; -73.0352162706
CAPAYA;-14.1155992304; -73.3538551995
TUMAY HUARACA;-13.9692352765; -73.4581996429
TAMBOBAMBA;-13.9170708427; -72.2129156785
SAN JUAN DE CHACÑA;-13.8849874641; -73.1938205884
GAMARRA;-13.8306652458; -72.5596704208
CIRCA;-13.9741942032; -72.8915213186
HUANCARAY;-13.7696234058; -73.5471996764
MATARA;-7.27201892003; -78.2594776062
SUCRE;-7.01875225518; -78.1713104097
CONTUMAZA;-7.33474923777; -78.73680482
YONAN;-7.2776219755; -79.1691386554
LA FLORIDA;-6.86887951212; -79.1488330551
UNION AGUA BLANCA;-7.11890834474; -79.0541973457
SARIN;-7.93982794211; -77.8800919802
SARTIMBAMBA;-7.61269735008; -77.7661508999
MOCHE;-8.15917615126; -79.0001114886
POROTO;-8.03527237777; -78.7540100772
CHOCOPE;-7.7905006552; -79.2265467078
MAGDALENA DE CAO;-7.85520577485; -79.2999163774
RAZURI;-7.68684259537; -79.3715533691
CHARAT;-7.80866035006; -78.4738252897
MACHE;-8.03421875915; -78.5338048967
CASCAS;-7.50150830184; -78.7639613663
MARMOT;-7.66252992227; -78.7015063143
SAYAPULLO;-7.56789970669; -78.4317253374
CACHICADAN;-8.01728182699; -78.0643559547
SANTA CRUZ DE CHUCA;-8.18829981293; -78.0956743263
LONYA GRANDE;-6.06347199659; -78.410673292
CHURUJA;-6.00779655217; -77.9303638743
JAZAN;-5.94537389736; -78.0234317792
JUMBILLA;-5.95174280364; -77.8256583611
CUISPES;-5.91114537432; -77.9147927248
LA PECA;-5.59197827258; -78.4454061605
EL CENEPA;-4.16853813289; -78.3358932899
ALTO TAPICHE;-6.81833930423; -74.1894361883
